dgp,sample_size,design,ATEError,CovariateMSE,NeymanCoverage,NeymanRejects,RI_Coverage_Simple,RI_Rejects_Simple,RI_Rejects_phi0.5,RI_Rejects_phi1.0
CubicDGP,100,BWD(phi=0.5),0.004,0.007,1.0,0.11,0.89,0.1,0.23,0.32
CubicDGP,100,BWD(phi=1.0),0.026,0.003,1.0,0.01,0.99,0.01,0.14,0.25
CubicDGP,100,Simple,0.078,0.016,0.98,0.21,0.8,0.2,0.39,0.54
CubicDGP,250,BWD(phi=0.5),-0.025,0.002,1.0,0.08,0.92,0.08,0.23,0.35
CubicDGP,250,BWD(phi=1.0),0.0,0.001,1.0,0.0,0.99,0.0,0.2,0.29
CubicDGP,250,Simple,0.031,0.005,0.98,0.16,0.84,0.16,0.34,0.41
CubicDGP,500,BWD(phi=0.5),0.016,0.001,1.0,0.02,0.98,0.01,0.34,0.49
CubicDGP,500,BWD(phi=1.0),0.005,0.0,1.0,0.0,1.0,0.0,0.29,0.43
CubicDGP,500,Simple,-0.021,0.004,0.96,0.29,0.76,0.3,0.61,0.66
CubicDGP,1000,BWD(phi=0.5),-0.008,0.0,1.0,0.08,1.0,0.05,0.65,0.7
CubicDGP,1000,BWD(phi=1.0),0.002,0.0,1.0,0.01,0.99,0.02,0.53,0.63
CubicDGP,1000,Simple,0.022,0.002,0.98,0.21,0.78,0.24,0.62,0.67
LinearDGP,100,BWD(phi=0.5),-0.012,0.005,0.97,0.36,0.89,0.36,0.45,0.55
LinearDGP,100,BWD(phi=1.0),0.002,0.003,1.0,0.29,0.96,0.27,0.42,0.51
LinearDGP,100,Simple,0.018,0.008,0.97,0.35,0.86,0.34,0.44,0.57
LinearDGP,250,BWD(phi=0.5),-0.001,0.001,1.0,0.56,0.98,0.59,0.84,0.92
LinearDGP,250,BWD(phi=1.0),0.0,0.001,1.0,0.53,0.99,0.5,0.91,0.99
LinearDGP,250,Simple,-0.012,0.003,0.9,0.59,0.75,0.59,0.76,0.78
LinearDGP,500,BWD(phi=0.5),0.002,0.0,1.0,0.92,0.99,0.88,0.99,1.0
LinearDGP,500,BWD(phi=1.0),-0.004,0.0,1.0,0.91,1.0,0.91,1.0,1.0
LinearDGP,500,Simple,0.002,0.002,0.97,0.75,0.78,0.75,0.87,0.91
LinearDGP,1000,BWD(phi=0.5),-0.003,0.0,1.0,1.0,0.98,1.0,1.0,1.0
LinearDGP,1000,BWD(phi=1.0),-0.001,0.0,1.0,1.0,1.0,1.0,1.0,1.0
LinearDGP,1000,Simple,-0.003,0.001,0.97,0.93,0.82,0.92,0.99,0.99
LinearDriftDGP,100,BWD(phi=0.5),-0.014,0.003,0.99,0.43,0.86,0.38,0.53,0.61
LinearDriftDGP,100,BWD(phi=1.0),0.001,0.002,0.99,0.34,0.92,0.34,0.39,0.53
